# a_x,a_y,a_z,omega_x,omega_y,omega_z
1.8908,-1.1452,9.7747,-0.1206,0.3262,-0.4742
2.0090,-0.9318,9.8276,-0.1084,0.3301,-0.4810
1.8145,-0.9459,9.6980,-0.1077,0.3340,-0.4648
1.7574,-0.9927,9.6616,-0.1080,0.3167,-0.4428
1.7608,-1.0817,9.8149,-0.0724,0.3311,-0.4535
1.8826,-1.2800,9.9385,-0.0842,0.3374,-0.4346
1.9238,-1.1639,9.8436,-0.0580,0.3350,-0.4519
1.8235,-0.9818,9.7617,-0.0608,0.3518,-0.4220
1.7951,-0.9682,9.8906,-0.0527,0.3486,-0.4065
1.8089,-1.1443,9.9011,-0.0713,0.3715,-0.4300
1.4689,-1.1564,9.8713,-0.0649,0.3644,-0.4248
1.5389,-1.3220,9.9515,-0.0291,0.3486,-0.4137
1.4682,-1.2912,9.7596,-0.0330,0.3608,-0.3970
1.7565,-1.1328,9.9625,-0.0149,0.3507,-0.3883
1.6802,-1.3181,9.7870,-0.0214,0.3500,-0.4004
1.5234,-1.3419,9.7742,-0.0128,0.3622,-0.3874
1.6258,-1.3711,9.6864,-0.0160,0.3882,-0.3741
1.3034,-1.4572,9.9288,-0.0209,0.3770,-0.3836
1.4864,-1.6283,9.8578,-0.0023,0.3780,-0.3697
1.2498,-1.5283,9.8360,0.0116,0.3830,-0.3511
1.1834,-1.4986,9.7007,0.0177,0.3751,-0.3519
1.3398,-1.3987,9.8181,0.0213,0.3939,-0.3299
1.1339,-1.6283,9.7634,0.0469,0.3747,-0.3395
1.0000,-1.5395,9.7777,0.0409,0.3709,-0.3321
0.9425,-1.6062,9.8223,0.0503,0.3706,-0.3063
0.8595,-1.7676,9.7135,0.0471,0.3782,-0.2938
1.0869,-1.7054,9.7536,0.0469,0.3859,-0.3103
1.0129,-1.5888,9.7980,0.0477,0.3976,-0.3105
0.8061,-1.7621,9.6777,0.0686,0.3856,-0.2953
0.8030,-1.6592,9.7518,0.0828,0.4020,-0.2896
0.8354,-1.7303,9.8206,0.0733,0.4186,-0.2453
0.7775,-1.9087,9.9283,0.1008,0.4015,-0.2584
0.7533,-1.7224,9.7515,0.0812,0.4078,-0.2404
0.6842,-1.7900,9.8079,0.1083,0.4031,-0.2563
0.6053,-1.7579,10.1280,0.1076,0.4267,-0.2339
0.4326,-1.8301,9.7108,0.1123,0.4146,-0.2338
0.3500,-1.9093,9.8608,0.1345,0.4082,-0.2278
0.2628,-1.7533,9.6874,0.1315,0.4119,-0.1814
0.2194,-1.9537,9.8015,0.1412,0.4414,-0.2101
0.1518,-1.6794,9.9256,0.1528,0.4280,-0.2047
0.2011,-1.8255,10.0262,0.1496,0.4313,-0.1731
0.0838,-1.8311,9.8344,0.1505,0.4444,-0.1520
0.0116,-1.8904,9.7941,0.1599,0.4209,-0.1517
0.0960,-1.7390,9.7081,0.1733,0.4400,-0.1552
-0.3019,-1.9026,9.9070,0.1697,0.4084,-0.1353
-0.2391,-1.9042,9.8236,0.1802,0.4064,-0.1296
-0.1728,-1.9042,9.8186,0.1833,0.4132,-0.1263
-0.1274,-1.9178,9.8281,0.1940,0.4413,-0.1086
-0.2584,-1.8148,9.8475,0.1990,0.4290,-0.1122
-0.2366,-1.9343,9.6879,0.2088,0.4553,-0.0993
-0.4773,-2.0040,9.9119,0.2142,0.4395,-0.0975
-0.5855,-2.1484,9.9526,0.2280,0.4466,-0.0699
-0.8043,-2.0934,9.8448,0.2189,0.4393,-0.0526
-0.5401,-1.9802,9.8493,0.2419,0.4443,-0.0241
-0.7450,-2.0474,9.6993,0.2358,0.4458,-0.0434
-0.7268,-1.9015,9.7289,0.2481,0.4508,-0.0353
-0.8376,-1.9070,9.9612,0.2390,0.4444,-0.0306
-0.8008,-2.0388,9.8791,0.2613,0.4629,-0.0217
-0.8885,-2.1499,9.7555,0.2502,0.4459,-0.0019
-1.0206,-2.0278,9.8779,0.2421,0.4432,0.0304
-0.9692,-1.8912,9.8917,0.2645,0.4570,0.0005
-1.0330,-1.9819,9.8523,0.2781,0.4707,0.0097
-1.2447,-2.2019,9.7789,0.2622,0.4725,0.0212
-1.3465,-2.0525,9.8223,0.2928,0.4561,0.0566
-1.3089,-2.1923,9.6975,0.2881,0.4639,0.0321
-1.4177,-2.0349,9.8565,0.2923,0.4581,0.0791
-1.4422,-2.0542,9.8887,0.3135,0.4348,0.0639
-1.3019,-2.0223,9.9166,0.3093,0.4784,0.0890
-1.4536,-1.9616,9.6590,0.3315,0.4623,0.1039
-1.4357,-1.8803,9.7821,0.3156,0.4692,0.0869
-1.6191,-2.0042,9.7596,0.3484,0.4759,0.0987
-1.6113,-1.8878,9.7514,0.3286,0.4696,0.1175
-1.6668,-1.9417,9.8060,0.3424,0.4839,0.1361
-1.7495,-1.9048,9.6243,0.3426,0.4680,0.1398
-1.7176,-1.8378,9.8640,0.3430,0.4808,0.1430
-1.7286,-1.8171,9.9183,0.3577,0.4778,0.1603
-1.6761,-1.8959,9.8645,0.3616,0.4702,0.1749
-1.7121,-1.9312,9.5500,0.3589,0.4811,0.1763
-1.7411,-1.9392,9.9538,0.3760,0.4843,0.1748
-1.7238,-1.8945,9.7477,0.3634,0.4759,0.1967
-1.7183,-1.9460,9.8449,0.3745,0.4867,0.1783
-1.8707,-2.0139,9.7465,0.3654,0.4958,0.2170
-1.9437,-1.8773,9.7208,0.3908,0.4862,0.2185
-1.9518,-1.7434,9.8426,0.3796,0.4656,0.2373
-1.9275,-1.5271,9.8533,0.3979,0.4889,0.2256
-1.8492,-1.9316,9.7289,0.3830,0.4884,0.2603
-1.9657,-1.8979,9.8291,0.3999,0.4781,0.2567
-2.0486,-1.5877,9.7409,0.3966,0.4858,0.2762
-2.0734,-1.4605,9.7770,0.4073,0.4901,0.2996
-1.8879,-1.7215,9.8804,0.4143,0.4935,0.2751
-1.9103,-1.4370,9.7713,0.4146,0.5065,0.2931
-1.9581,-1.5771,9.8229,0.4241,0.4717,0.2955
-1.9975,-1.6600,9.8283,0.4255,0.4951,0.2895
-2.0827,-1.6568,9.8226,0.4306,0.4901,0.3222
-2.1907,-1.5172,9.9319,0.4407,0.5071,0.3215
-1.9417,-1.5873,9.7179,0.4279,0.5007,0.3327
-2.0689,-1.4842,9.7465,0.4367,0.5085,0.3385
-2.0707,-1.4727,9.8726,0.4216,0.5012,0.3366
-2.0569,-1.4894,9.8004,0.4478,0.5088,0.3602
-1.8653,-1.4571,9.7655,0.4451,0.5028,0.3692
-2.0668,-1.3039,9.8131,0.4363,0.5088,0.3677
-1.8711,-1.5173,9.7413,0.4600,0.5115,0.3571
-1.8553,-1.1808,9.8176,0.4802,0.4857,0.3854
-1.8162,-1.2383,9.7755,0.4458,0.5123,0.3896
-1.9727,-1.2815,9.8339,0.4573,0.5122,0.4041
-1.9261,-1.2877,9.8927,0.4854,0.5018,0.3981
-1.9122,-1.2372,9.8915,0.4759,0.5222,0.4021
-1.7399,-1.2328,9.8718,0.4740,0.4915,0.4004
-1.8446,-1.2568,9.7598,0.4678,0.5100,0.4139
-1.6441,-1.2153,9.7346,0.4933,0.5233,0.4234
-1.7550,-1.2071,9.6889,0.4766,0.5089,0.4372
-1.7315,-0.9493,9.7957,0.4675,0.5009,0.4256
-1.7404,-1.1154,9.9481,0.4816,0.5028,0.4414
-1.7103,-1.0169,9.7709,0.4955,0.5166,0.4403
-1.5575,-1.1736,9.8089,0.5012,0.5127,0.4557
-1.3977,-1.1053,9.8782,0.4978,0.5098,0.4286
-1.5330,-0.9069,9.6423,0.4825,0.4958,0.4673
-1.4364,-0.9599,9.6939,0.4865,0.5344,0.4537
-1.3431,-0.6982,9.8718,0.5018,0.5227,0.4641
-1.3231,-0.9129,9.7842,0.5178,0.5229,0.4792
-1.3810,-0.8239,9.7582,0.4950,0.5476,0.4909
-1.1520,-0.9615,9.6452,0.4991,0.5177,0.4836
-1.3123,-0.8211,9.7311,0.5089,0.5142,0.4702
-1.1059,-0.5422,9.8717,0.5045,0.5259,0.4852
-1.0750,-0.5714,9.9038,0.5204,0.5026,0.4928
-0.9054,-0.7494,9.8464,0.5112,0.5264,0.5041
-0.9790,-0.4958,9.9639,0.5017,0.5148,0.5056
-0.8292,-0.3406,9.9316,0.5176,0.5333,0.5123
-0.7904,-0.6198,9.9792,0.5205,0.5241,0.4964
-1.0081,-0.3123,9.8671,0.5073,0.5194,0.5093
-0.7430,-0.4396,9.8466,0.5226,0.5196,0.5299
-0.6466,-0.4224,9.8066,0.5233,0.5231,0.5238
-0.4774,-0.3831,9.7127,0.5215,0.5326,0.5111
-0.6244,-0.1819,9.9149,0.5232,0.4991,0.5301
-0.3889,-0.3657,9.7770,0.5408,0.5307,0.5024
-0.4529,-0.4040,9.8012,0.5123,0.5030,0.5301
-0.3695,-0.1941,9.8014,0.5175,0.5206,0.5083
-0.3919,-0.0400,9.6989,0.5170,0.5230,0.5147
-0.2326,-0.0416,9.6411,0.5065,0.5268,0.5343
-0.2979,-0.1677,9.7544,0.5104,0.5237,0.5174
-0.2659,-0.0820,9.7672,0.5266,0.5066,0.5260
-0.1413,0.1116,9.7634,0.5237,0.5263,0.5443
-0.0483,-0.0268,9.7611,0.5235,0.5277,0.5284
